Full name:,Date of birth:,Place of birth:,Age:,Height:,Citizenship:,Position:,Foot:,Player agent:,                            Current club:                        ,Joined:,Contract expires:,Date of last contract extension:,Outfitter:,Social-Media:,Market Value,Name in home country:,Contract option:,On loan from:,Contract there expires:,2nd club:,3nd club:
Kyle Walker,"May 28, 1990 ",Sheffield   ,32,"1,83 m",  England                            ,                            Defender - Right-Back                        ,right,CAA Base Ltd ,Manchester City ,"                                Jul 14, 2017                            ","Jun 30, 2024","Jun 19, 2019",Puma,"['http://twitter.com/kylewalker2', 'http://www.facebook.com/kyle.walker2', 'http://www.instagram.com/kylewalker2/']",                $19.80m                ,Kyle Andrew Walker,,,,,
Rodri,"Jun 22, 1996 ",Madrid   ,26,"1,91 m",  Spain                            ,                            midfield - Defensive Midfield                        ,right,Pablo Barquero ,Manchester City ,"                                Jul 4, 2019                            ","Jun 30, 2027","Jul 12, 2022",Nike,,                $88.00m                ,,,,,,
Kalvin Phillips,"Dec 2, 1995 ",Leeds   ,26,"1,79 m",  England  Jamaica                            ,                            midfield - Defensive Midfield                        ,right,ICM Stellar Sports ,Manchester City ,"                                Jul 4, 2022                            ","Jun 30, 2028",,,"['http://twitter.com/kalvinphillips', 'http://www.instagram.com/kalvinphillips/']",                $55.00m                ,Kalvin Mark Phillips,,,,,
Phil Foden,"May 28, 2000 ",Stockport   ,22,"1,71 m",  England                            ,                            midfield - Central Midfield                        ,left,,Manchester City ,"                                Jul 1, 2017                            ","Jun 30, 2024","Dec 10, 2018",Nike,"['http://twitter.com/PhilFoden', 'http://www.facebook.com/officialfoden/', 'http://www.instagram.com/philfoden/', 'http://phil-foden.com/', 'http://vm.tiktok.com/ZMN2a6HEF']",                $99.00m                ,Philip Walter Foden,,,,,
Ilkay Gundogan,"Oct 24, 1990 ",Gelsenkirchen   ,31,"1,80 m",  Germany                            ,                            midfield - Central Midfield                        ,right,KIN Partners ,Manchester City ,"                                Jul 1, 2016                            ","Jun 30, 2023","Aug 9, 2019",adidas,"['http://www.facebook.com/IlkayGuendogan', 'http://www.instagram.com/ilkayguendogan/']",                $27.50m                ,İlkay Gündoğan,,,,,
Ante Palaversa,"Apr 6, 2000 ",Split   ,22,"1,87 m",  Croatia                            ,                            midfield - Central Midfield                        ,right,Stars & Friends ,Manchester City ,"                                Jan 31, 2019                            ","Jun 30, 2023",,,,                $1.65m                ,,,,,,
Kevin De Bruyne,"Jun 28, 1991 ",Drongen   ,31,"1,81 m",  Belgium                            ,                            midfield - Attacking Midfield                        ,right,,Manchester City ,"                                Aug 30, 2015                            ","Jun 30, 2025","Apr 7, 2021",Nike,"['http://twitter.com/DeBruyneKev', 'http://www.facebook.com/DeBruyneOfficial', 'http://www.instagram.com/kevindebruyne/', 'http://www.tiktok.com/@kevindebruyne']",                $93.50m                ,,,,,,
Bernardo Silva,"Aug 10, 1994 ",Lisboa   ,28,"1,73 m",  Portugal                            ,                            midfield - Attacking Midfield                        ,left,Gestifute ,Manchester City ,"                                Jul 1, 2017                            ","Jun 30, 2025","Mar 13, 2019",adidas,"['http://twitter.com/BernardoCSilva', 'http://www.facebook.com/BernardoSilvaOficial/', 'http://www.instagram.com/bernardocarvalhosilva/']",                $88.00m                ,Bernardo Mota Veiga de Carvalho e Silva,,,,,
Cole Palmer,"May 6, 2002 ",Manchester   ,20,"1,82 m",  England                            ,                            midfield - Attacking Midfield                        ,left,CAA Base Ltd ,Manchester City ,"                                Jul 1, 2021                            ","Jun 30, 2026","Jun 14, 2021",Nike,['http://www.instagram.com/colepalmer10/'],                $6.60m                ,Cole Jermaine Palmer,,,,,
Jack Grealish,"Sep 10, 1995 ",Birmingham   ,26,"1,80 m",  England  Ireland                            ,                            attack - Left Winger                        ,right,ICM Stellar Sports ,Manchester City ,"                                Aug 5, 2021                            ","Jun 30, 2027",,Nike,"['http://twitter.com/JackGrealish', 'http://www.facebook.com/JackGrealishOfficial', 'http://www.instagram.com/jackgrealish/', 'http://www.tiktok.com/@jackgrealish']",                $77.00m                ,Jack Peter Grealish,,,,,
Riyad Mahrez,"Feb 21, 1991 ",Sarcelles   ,31,"1,79 m",  Algeria  France                            ,                            attack - Right Winger                        ,left,,Manchester City ,"                                Jul 10, 2018                            ","Jun 30, 2025","Jul 15, 2022",Nike,"['http://twitter.com/Mahrez22', 'http://www.facebook.com/Riyad.Mahrez.RM26.7/', 'http://www.instagram.com/riyadmahrez26.7/']",                $38.50m                ,رياض محرز,,,,,
Marlos Moreno,"Sep 20, 1996 ",Medellín   ,25,"1,73 m",  Colombia                            ,                            attack - Right Winger                        ,right,Wasserman ,Manchester City ,"                                Aug 5, 2016                            ","Jun 30, 2023",,Nike,['http://www.instagram.com/m.2921moreno/'],                $990Th.                ,Marlos Moreno Durán,,,,,
Erling Haaland,"Jul 21, 2000 ",Leeds   ,22,"1,95 m",  Norway  England                            ,                            attack - Centre-Forward                        ,left,One ,Manchester City ,"                                Jul 1, 2022                            ","Jun 30, 2027",,Nike,"['http://twitter.com/ErlingHaaland', 'http://www.facebook.com/profile.php?id=100052762394674', 'http://instagram.com/erling.haaland/']",                $165.00m                ,Erling Braut Håland,,,,,
Julian Alvarez,"Jan 31, 2000 ",Calchín   ,22,"1,70 m",  Argentina                            ,                            attack - Centre-Forward                        ,right,Fernando Hidalgo ,Manchester City ,"                                Jan 31, 2022                            ","Jun 30, 2027",,,['http://www.instagram.com/juliaanalvarez/'],                $25.30m                ,,,,,,
Edouard Mendy,"Mar 1, 1992 ",Montivilliers   ,30,"1,94 m",  Senegal  Guinea-Bissau                            ,                            Goalkeeper                        ,right,Extra Time Sports U.K. ,Chelsea FC ,"                                Sep 24, 2020                            ","Jun 30, 2025",,adidas,['http://www.instagram.com/edou_mendy/'],                $35.20m                ,Édouard Osoque Mendy,,,,,
Kepa Arrizabalaga,"Oct 3, 1994 ",Ondarroa   ,27,"1,86 m",  Spain                            ,                            Goalkeeper                        ,right,AC Talent ,Chelsea FC ,"                                Aug 8, 2018                            ","Jun 30, 2025",,adidas,"['http://twitter.com/kepa_46', 'http://www.instagram.com/kepaarrizabalaga/']",                $11.00m                ,Kepa Arrizabalaga Revuelta,,,,,
Marcus Bettinelli,"May 24, 1992 ",London   ,30,"1,93 m",  England  Italy                            ,                            Goalkeeper                        ,right,,Chelsea FC ,"                                Jul 28, 2021                            ","Jun 30, 2023",,,"['http://twitter.com/marcusbettss', 'http://www.instagram.com/marcusbettinelli/']",                $2.20m                ,,,,,,
Kalidou Koulibaly,"Jun 20, 1991 ",Saint-Dié-des-Vosges   ,31,"1,86 m",  Senegal  France                            ,                            Defender - Centre-Back                        ,right,LIAN Sports Group ,Chelsea FC ,"                                Jul 16, 2022                            ","Jun 30, 2026",,Puma,"['http://twitter.com/kkoulibaly26', 'http://www.facebook.com/kalidoukoulibalyofficiel/', 'http://www.instagram.com/kkoulibaly26/']",                $38.50m                ,Kalidou Koulibaly,Option for a further year,,,,
Trevoh Chalobah,"Jul 5, 1999 ",Freetown   ,23,"1,90 m",  England  Sierra Leone                            ,                            Defender - Centre-Back                        ,right,CAA Base Ltd ,Chelsea FC ,"                                Jul 1, 2021                            ","Jun 30, 2026","Nov 4, 2021",Nike,"['http://twitter.com/TrevohChalobah', 'http://www.instagram.com/yungchalobah/', 'http://www.tiktok.com/@trevohchalobah']",                $22.00m                ,Trevoh Thomas Chalobah,,,,,
Ethan Ampadu,"Sep 14, 2000 ",Exeter   ,21,"1,83 m",  Wales  England                            ,                            Defender - Centre-Back                        ,right,Platinum One Group ,Chelsea FC ,"                                Jul 1, 2017                            ","Jun 30, 2024","Sep 19, 2018",,"['http://twitter.com/ethanamp26', 'http://www.instagram.com/ethanamp26/']",                $14.30m                ,Ethan Kwame Colm Raymond Ampadu,,,,,
Thiago Silva,"Sep 22, 1984 ",Rio de Janeiro   ,37,"1,81 m",  Brazil  France                            ,                            Defender - Centre-Back                        ,right,Paulo Tonietto ,Chelsea FC ,"                                Aug 28, 2020                            ","Jun 30, 2023","Jan 3, 2022",Nike,"['http://twitter.com/tsilva3', 'http://instagram.com/thiagosilva/', 'http://www.tiktok.com/@thiagosilva']",                $2.75m                ,Thiago Emiliano da Silva,,,,,
Ben Chilwell,"Dec 21, 1996 ",Milton Keynes   ,25,"1,80 m",  England                            ,                            Defender - Left-Back                        ,left,ICM Stellar Sports ,Chelsea FC ,"                                Aug 26, 2020                            ","Jun 30, 2025",,Nike,"['http://twitter.com/BenChilwell', 'http://www.instagram.com/benchilwell/']",                $41.80m                ,Benjamin James Chilwell,,,,,
Marc Cucurella,"Jul 22, 1998 ",Alella   ,24,"1,75 m",  Spain                            ,                            Defender - Left-Back                        ,left,EMG Mundial ,Chelsea FC ,"                                Aug 5, 2022                            ","Jun 30, 2028",,Puma,"['http://twitter.com/cucurella3', 'http://www.instagram.com/cucurella3/?hl=es']",                $30.80m                ,Marc Cucurella Saseta,,,,,
Emerson,"Aug 3, 1994 ",Santos   ,28,"1,76 m",  Italy  Brazil                            ,                            Defender - Left-Back                        ,left,PS Sports ,Chelsea FC ,"                                Jan 30, 2018                            ","Jun 30, 2024",,adidas,"['http://twitter.com/emersonpalmieri', 'http://www.instagram.com/emersonpalmieri/']",                $15.40m                ,,,,,,
Marcos Alonso,"Dec 28, 1990 ",Madrid   ,31,"1,89 m",  Spain                            ,                            Defender - Left-Back                        ,left,LIAN Sports Group ,Chelsea FC ,"                                Aug 31, 2016                            ","Jun 30, 2023","Oct 24, 2018",Nike,"['http://twitter.com/marcosalonso03', 'http://www.facebook.com/marcosalonsoMA3/?fref=ts', 'http://www.instagram.com/marcosalonso28/', 'http://www.marcos-alonso.com/']",                $13.20m                ,Marcos Alonso Mendoza,,,,,
Abdul Rahman Baba,"Jul 2, 1994 ",Tamale   ,28,"1,79 m",  Ghana                            ,                            Defender - Left-Back                        ,left,SPOCS Global Sports ,Chelsea FC ,"                                Aug 16, 2015                            ","Jun 30, 2024","Aug 27, 2021",Nike,"['http://twitter.com/babarahmangh', 'http://www.facebook.com/Baba-Abdul-Rahman-213940385363091', 'http://www.instagram.com/baba_rahman_/']",                $2.42m                ,Baba Abdul Rahman,,,,,
Reece James,"Dec 8, 1999 ",London   ,22,"1,80 m",  England                            ,                            Defender - Right-Back                        ,right,Unique Sports Group ,Chelsea FC ,"                                Jul 1, 2019                            ","Jun 30, 2025","Jan 16, 2020",Nike,"['http://twitter.com/reecejames_24', 'http://www.instagram.com/reecejames/', 'http://www.reecejames.com/', 'http://vm.tiktok.com/ZMNQqTkTP']",                $66.00m                ,,,,,,
Cesar Azpilicueta,"Aug 28, 1989 ",Pamplona   ,32,"1,78 m",  Spain                            ,                            Defender - Right-Back                        ,right,Relatives ,Chelsea FC ,"                                Aug 24, 2012                            ","Jun 30, 2024","Aug 4, 2022",adidas,"['http://twitter.com/CesarAzpi', 'http://www.facebook.com/CesarAzpilicuetaOficial/?fref=ts', 'http://www.instagram.com/cesarazpi/', 'http://cesarazpi.com']",                $9.90m                ,César Azpilicueta Tanco,,,,,
Jorginho,"Dec 20, 1991 ",Imbituba   ,30,"1,80 m",  Italy  Brazil                            ,                            midfield - Defensive Midfield                        ,right,CAA Base Ltd ,Chelsea FC ,"                                Jul 14, 2018                            ","Jun 30, 2023",,Nike,['http://www.instagram.com/jorginhofrello/'],                $44.00m                ,,,,,,
Ngolo Kante,"Mar 29, 1991 ",Paris   ,31,"1,68 m",  France  Mali                            ,                            midfield - Defensive Midfield                        ,right,KDS FM ,Chelsea FC ,"                                Jul 16, 2016                            ","Jun 30, 2023","Nov 23, 2018",adidas,"['http://twitter.com/nglkante', 'http://www.facebook.com/nglkante', 'http://www.instagram.com/nglkante/']",                $44.00m                ,,,,,,
Mateo Kovacic,"May 6, 1994 ",Linz   ,28,"1,76 m",  Croatia                            ,                            midfield - Central Midfield                        ,right,Venture Partners ,Chelsea FC ,"                                Jul 1, 2019                            ","Jun 30, 2024",,Nike,"['http://twitter.com/Mateo_Kova23', 'http://www.facebook.com/MateoKovacic/?fref=ts', 'http://www.instagram.com/mateokovacic8/']",                $46.20m                ,Mateo Kovačić,,,,,
Conor Gallagher,"Feb 6, 2000 ",Epsom   ,22,"1,82 m",  England                            ,                            midfield - Central Midfield                        ,right,Elite Management Agency ,Chelsea FC ,"                                Jul 1, 2022                            ","Jun 30, 2025",,,['http://www.instagram.com/conorgallagher92/'],                $27.50m                ,,,,,,
Ruben Loftus Cheek,"Jan 23, 1996 ",London   ,26,"1,90 m",  England  Guyana                            ,                            midfield - Central Midfield                        ,right,ICM Stellar Sports ,Chelsea FC ,"                                Jan 1, 2015                            ","Jun 30, 2024","Jul 6, 2019",adidas,"['http://twitter.com/RLC', 'http://www.facebook.com/rubenloftuscheek', 'http://www.instagram.com/rlc/']",                $22.00m                ,Ruben Ira Loftus-Cheek,,,,,
Ross Barkley,"Dec 5, 1993 ",Liverpool   ,28,"1,85 m",  England                            ,                            midfield - Central Midfield                        ,right,Wasserman ,Chelsea FC ,"                                Jan 5, 2018                            ","Jun 30, 2023",,Nike,"['http://twitter.com/RBarkley8', 'http://www.instagram.com/rossbarkley/']",                $13.20m                ,,,,,,
Billy Gilmour,"Jun 11, 2001 ",Irvine   ,21,"1,70 m",  Scotland                            ,                            midfield - Central Midfield                        ,right,ICM Stellar Sports ,Chelsea FC ,"                                Feb 11, 2020                            ","Jun 30, 2024","Jun 13, 2022",adidas,"['http://twitter.com/billygilmourrr', 'http://www.instagram.com/billygilmourrr/']",                $13.20m                ,Billy Clifford Gilmour,,,,,
Carney Chukwuemeka,"Oct 20, 2003 ",Eisenstadt   ,18,"1,85 m",  England  Nigeria                            ,                            midfield - Central Midfield                        ,right,,Chelsea FC ,"                                Aug 4, 2022                            ","Jun 30, 2028",,,"['http://twitter.com/Chukwuemekaa10', 'http://www.instagram.com/chukwuemeka10/']",                $6.60m                ,Carney Chibueze Chukwuemeka,,,,,
Cesare Casadei,"Jan 10, 2003 ",Ravenna   ,19,,  Italy                            ,                            midfield - Central Midfield                        ,right,PLAYER MANAGEMENT SRL ,Chelsea FC ,"                                Aug 19, 2022                            ","Jun 30, 2028",,,['http://www.instagram.com/_cesarecasadei_/'],                $1.10m                ,,,,,,
Kenedy,"Feb 8, 1996 ",Santa Rita do Sapucaí   ,26,"1,82 m",  Brazil                            ,                            midfield - Left Midfield                        ,left,,Chelsea FC ,"                                Aug 22, 2015                            ","Jun 30, 2024","Aug 18, 2021",adidas,"['http://www.facebook.com/robertkenedyoficial/', 'http://www.instagram.com/kenedy/?hl=it']",                $7.70m                ,,,,,,
Mason Mount,"Jan 10, 1999 ",Portsmouth   ,23,"1,80 m",  England                            ,                            midfield - Attacking Midfield                        ,right,Relatives ,Chelsea FC ,"                                Jul 1, 2019                            ","Jun 30, 2024","Jul 15, 2019",Nike,"['http://twitter.com/masonmount_10', 'http://www.facebook.com/MasonMountOfficial/', 'http://www.instagram.com/masonmount/', 'http://www.tiktok.com/@masonmount']",                $82.50m                ,Mason Tony Mount,,,,,
Kai Havertz,"Jun 11, 1999 ",Aachen   ,23,"1,90 m",  Germany                            ,                            midfield - Attacking Midfield                        ,left,ROOF ,Chelsea FC ,"                                Sep 4, 2020                            ","Jun 30, 2025",,Nike,"['http://twitter.com/kaihavertz29', 'http://www.facebook.com/kaihavertz29/', 'http://www.instagram.com/kaihavertz29/']",                $77.00m                ,Kai Lukas Havertz,,,,,
Hakim Ziyech,"Mar 19, 1993 ",Dronten   ,29,"1,81 m",  Morocco  Netherlands                            ,                            midfield - Attacking Midfield                        ,left,HZ INTERNATIONAL ,Chelsea FC ,"                                Jul 1, 2020                            ","Jun 30, 2025",,Nike,"['http://www.facebook.com/officialhziyech/', 'http://www.instagram.com/hziyech/']",                $30.80m                ,حكيم زيياش,,,,,
Raheem Sterling,"Dec 8, 1994 ",Kingston   ,27,"1,70 m",  England  Jamaica                            ,                            attack - Left Winger                        ,right,Relatives ,Chelsea FC ,"                                Jul 13, 2022                            ","Jun 30, 2027",,New Balance,"['http://twitter.com/sterling7', 'http://www.facebook.com/sterling7official', 'http://www.instagram.com/sterling7/']",                $77.00m                ,Raheem Shaquille Sterling,,,,,
Christian Pulisic,"Sep 18, 1998 ","Hershey, Pennsylvania   ",23,"1,77 m",  United States  Croatia                            ,                            attack - Right Winger                        ,right,Relatives ,Chelsea FC ,"                                Jan 2, 2019                            ","Jun 30, 2024",,Puma,"['http://twitter.com/cpulisic_10', 'http://www.facebook.com/cmpulisic/', 'http://www.instagram.com/cmpulisic/']",                $46.20m                ,Christian Mate Pulišić,,,,,
Callum Hudson Odoi,"Nov 7, 2000 ",London   ,21,"1,77 m",  England  Ghana                            ,                            attack - Right Winger                        ,right,Relatives ,Chelsea FC ,"                                Jan 1, 2019                            ","Jun 30, 2024","Sep 19, 2019",adidas,"['http://twitter.com/Calteck10', 'http://www.instagram.com/calteck10/']",                $27.50m                ,Callum James Hudson-Odoi,,,,,
Armando Broja,"Sep 10, 2001 ",Slough   ,20,"1,91 m",  Albania  England                            ,                            attack - Centre-Forward                        ,right,First Access Sports ,Chelsea FC ,"                                Jul 1, 2022                            ","Jun 30, 2026",,,"['http://twitter.com/armandobroja9', 'http://www.instagram.com/armando.broja/']",                $24.20m                ,,,,,,
Michy Batshuayi,"Oct 2, 1993 ",Brussel   ,28,"1,85 m",  Belgium  DR Congo                            ,                            attack - Centre-Forward                        ,right,Sport Cover ,Chelsea FC ,"                                Jul 3, 2016                            ","Jun 30, 2023","Sep 10, 2020",adidas,"['http://twitter.com/mbatshuayi', 'http://www.facebook.com/batshuayiofficial/', 'http://www.instagram.com/mbatshuayi/']",                $11.00m                ,Michy Batshuayi-Atunga,,,,,
Hugo Lloris,"Dec 26, 1986 ",Nizza   ,35,"1,88 m",  France                            ,                            Goalkeeper                        ,left,,Tottenham Hotspur ,"                                Aug 31, 2012                            ","Jun 30, 2024","Jan 21, 2022",Nike,,                $7.70m                ,Hugo Hadrien Dominique Lloris,,,,,
Fraser Forster,"Mar 17, 1988 ",Hexham   ,34,"2,01 m",  England                            ,                            Goalkeeper                        ,right,ICM Stellar Sports ,Tottenham Hotspur ,"                                Jul 1, 2022                            ","Jun 30, 2024",,Under Armour,"['http://twitter.com/FraserForster', 'http://www.instagram.com/fraserforster/']",                $2.20m                ,Fraser Gerard Forster,,,,,
Brandon Austin,"Jan 8, 1999 ",Hemel Hempstead   ,23,"1,88 m",  England  United States                            ,                            Goalkeeper                        ,right,Unique Sports Group ,Tottenham Hotspur ,"                                Aug 1, 2021                            ","Jun 30, 2024","Mar 29, 2022",Under Armour,['http://www.instagram.com/baustin_/'],$330Th. ,Brandon Anthony Austin,,,,,
Cristian Romero,"Apr 27, 1998 ",Córdoba   ,24,"1,85 m",  Argentina                            ,                            Defender - Centre-Back                        ,right,Ciro Palermo ,Tottenham Hotspur ,"                                Aug 6, 2021                            ","Jun 30, 2023",,,"['http://twitter.com/cutiromero2', 'http://www.instagram.com/cutiromero2/?hl=it']",                $52.80m                ,Cristian Gabriel Romero,Obligation to buy with conditions,Atalanta BC,"Jun 30, 2026",,
Davinson Sanchez,"Jun 12, 1996 ",Caloto   ,26,"1,87 m",  Colombia                            ,                            Defender - Centre-Back                        ,right,Villarreal & Schena ,Tottenham Hotspur ,"                                Aug 23, 2017                            ","Jun 30, 2024","May 15, 2018",Nike,"['http://twitter.com/daosanchez26', 'http://www.facebook.com/Daosanchez26/', 'http://www.instagram.com/daosanchez13/']",                $30.80m                ,Davinson Sánchez Mina,,,,,
Eric Dier,"Jan 15, 1994 ",Cheltenham   ,28,"1,88 m",  England  Portugal                            ,                            Defender - Centre-Back                        ,right,,Tottenham Hotspur ,"                                Jul 31, 2014                            ","Jun 30, 2024","Jul 21, 2020",Nike,"['http://twitter.com/ericdier', 'http://www.facebook.com/EricDierOfficial/', 'http://www.instagram.com/ericdier15/']",                $30.80m                ,Eric Jeremy Edgar Dier,,,,,
Japhet Tanganga,"Mar 31, 1999 ",London   ,23,"1,84 m",  England  DR Congo                            ,                            Defender - Centre-Back                        ,right,RDF Football ,Tottenham Hotspur ,"                                Jan 1, 2020                            ","Jun 30, 2025","Jul 27, 2020",,"['http://twitter.com/JTanganga99', 'http://www.instagram.com/jtang.99/']",                $13.20m                ,Japhet Manzambi Tanganga,,,,,
Clement Lenglet,"Jun 17, 1995 ",Beauvais   ,27,"1,86 m",  France                            ,                            Defender - Centre-Back                        ,left,Wasserman ,Tottenham Hotspur ,"                                Jul 8, 2022                            ","Jun 30, 2023",,Nike,"['http://twitter.com/clement_lenglet', 'http://www.facebook.com/clem.lenglet', 'http://www.instagram.com/clement_lenglet/']",                $13.20m                ,Clément Nicolas Laurent Lenglet,,FC Barcelona,"Jun 30, 2026",,
Sergio Reguilon,"Dec 16, 1996 ",Madrid   ,25,"1,78 m",  Spain                            ,                            Defender - Left-Back                        ,left,Sports Invest UK ltd ,Tottenham Hotspur ,"                                Sep 19, 2020                            ","Jun 30, 2025",,,"['http://twitter.com/sergio_regui', 'http://www.instagram.com/sergioregui/']",                $27.50m                ,Sergio Reguilón Rodríguez,,,,,
Ben Davies,"Apr 24, 1993 ",Neath   ,29,"1,81 m",  Wales                            ,                            Defender - Left-Back                        ,left,ICM Stellar Sports ,Tottenham Hotspur ,"                                Jul 23, 2014                            ","Jun 30, 2025","Jul 25, 2022",adidas,"['http://twitter.com/Ben_Davies33', 'http://www.instagram.com/bendavies33/']",                $22.00m                ,Benjamin Thomas Davies,,,,,
Emerson Royal,"Jan 14, 1999 ",São Paulo   ,23,"1,83 m",  Brazil  Spain                            ,                            Defender - Right-Back                        ,right,Epic Sports ,Tottenham Hotspur ,"                                Aug 31, 2021                            ","Jun 30, 2026",,,"['http://twitter.com/Emerson_Royal22', 'http://www.instagram.com/emerson_royal/']",                $27.50m                ,,,,,,
Matt Doherty,"Jan 16, 1992 ",Dublin   ,30,"1,85 m",  Ireland                            ,                            Defender - Right-Back                        ,right,Gestifute ,Tottenham Hotspur ,"                                Aug 30, 2020                            ","Jun 30, 2024",,Nike,"['http://twitter.com/mattdoherty20', 'http://www.instagram.com/Mattdoherty20/']",                $13.20m                ,Matthew James Doherty,,,,,
Djed Spence,"Aug 9, 2000 ",London   ,22,"1,84 m",  England  Jamaica                            ,                            Defender - Right-Back                        ,right,Raps Management ,Tottenham Hotspur ,"                                Jul 19, 2022                            ","Jun 30, 2027",,,"['http://twitter.com/DjedSpence', 'http://www.instagram.com/djedspence/']",                $8.80m                ,Diop Tehuti Djed-Hotep Spence,,,,,
Oliver Skipp,"Sep 16, 2000 ",Welwyn Garden City   ,21,"1,75 m",  England                            ,                            midfield - Defensive Midfield                        ,right,ARETÉ ,Tottenham Hotspur ,"                                Jul 1, 2018                            ","Jun 30, 2027","Apr 20, 2022",,['http://www.instagram.com/oliver.skipp/'],                $19.80m                ,Oliver William Skipp,,,,,
Harry Winks,"Feb 2, 1996 ",Hemel Hempstead   ,26,"1,78 m",  England                            ,                            midfield - Defensive Midfield                        ,right,,Tottenham Hotspur ,"                                Jul 1, 2016                            ","Jun 30, 2024","Jul 8, 2019",adidas,"['http://twitter.com/HarryWinks', 'http://www.facebook.com/HarryWinksOfficial/', 'http://www.instagram.com/harrywinks/']",                $16.50m                ,Harry Billy Winks,,,,,
Pierre Emile Hojbjerg,"Aug 5, 1995 ",København   ,27,"1,85 m",  Denmark  France                            ,                            midfield - Central Midfield                        ,right,Pini Zahavi ,Tottenham Hotspur ,"                                Aug 11, 2020                            ","Jun 30, 2025",,adidas,"['http://twitter.com/hojbjerg23', 'http://www.instagram.com/hojbjerg23/']",                $44.00m                ,Pierre-Emile Kordt Højbjerg,,,,,
